fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-20,Enero,2021,Línea 3,Gratuidad,7350
2021-01-20,Enero,2021,Línea 4,Prepago,51585
2021-01-20,Enero,2021,Línea 4,Gratuidad,2183
2021-01-20,Enero,2021,Línea 5,Prepago,97684
2021-01-20,Enero,2021,Línea 5,Gratuidad,10080
2021-01-20,Enero,2021,Línea 6,Prepago,94988
2021-01-20,Enero,2021,Línea 6,Gratuidad,7752
2021-01-20,Enero,2021,Línea 7,Prepago,102965
2021-01-20,Enero,2021,Línea 7,Gratuidad,1372
2021-01-21,Enero,2021,Línea 1,Prepago,283476
2021-01-21,Enero,2021,Línea 1,Gratuidad,13481
2021-01-21,Enero,2021,Línea 2,Prepago,104346
2021-01-21,Enero,2021,Línea 2,Gratuidad,6749
2021-01-21,Enero,2021,Línea 3,Prepago,103282
2021-01-21,Enero,2021,Línea 3,Gratuidad,6843
2021-01-21,Enero,2021,Línea 4,Prepago,52874
2021-01-21,Enero,2021,Línea 4,Gratuidad,2444
2021-01-21,Enero,2021,Línea 5,Prepago,87948
2021-01-21,Enero,2021,Línea 5,Gratuidad,9873
2021-01-21,Enero,2021,Línea 6,Prepago,96191
2021-01-21,Enero,2021,Línea 6,Gratuidad,7789
2021-01-21,Enero,2021,Línea 7,Prepago,103319
2021-01-21,Enero,2021,Línea 7,Gratuidad,1162
2021-01-22,Enero,2021,Línea 1,Prepago,307733
2021-01-22,Enero,2021,Línea 1,Gratuidad,13508
2021-01-22,Enero,2021,Línea 2,Prepago,105406
2021-01-22,Enero,2021,Línea 2,Gratuidad,6855
2021-01-22,Enero,2021,Línea 3,Prepago,104958
2021-01-22,Enero,2021,Línea 3,Gratuidad,7166
2021-01-22,Enero,2021,Línea 4,Prepago,54551
2021-01-22,Enero,2021,Línea 4,Gratuidad,2276
2021-01-22,Enero,2021,Línea 5,Prepago,100050
2021-01-22,Enero,2021,Línea 5,Gratuidad,10039
2021-01-22,Enero,2021,Línea 6,Prepago,89215
2021-01-22,Enero,2021,Línea 6,Gratuidad,7580
2021-01-22,Enero,2021,Línea 7,Prepago,102385
2021-01-22,Enero,2021,Línea 7,Gratuidad,1255
2021-01-23,Enero,2021,Línea 1,Prepago,194418
2021-01-23,Enero,2021,Línea 1,Gratuidad,9877
2021-01-23,Enero,2021,Línea 2,Prepago,80276
2021-01-23,Enero,2021,Línea 2,Gratuidad,5402
2021-01-23,Enero,2021,Línea 3,Prepago,80572
2021-01-23,Enero,2021,Línea 3,Gratuidad,5274
